Date,Open,High,Low,Close,Adj Close,Volume
2017-01-01,5425.620117,5669.609863,5397.990234,5614.790039,5614.790039,36115440000
2017-02-01,5654.509766,5867.890137,5616.399902,5825.439941,5825.439941,36811150000
2017-03-01,5874.859863,5928.060059,5769.390137,5911.740234,5911.740234,44064880000
2017-04-01,5917.319824,6074.040039,5805.149902,6047.609863,6047.609863,33894020000
2017-05-01,6067.560059,6221.990234,5996.810059,6198.520020,6198.520020,42405030000
2017-06-01,6215.910156,6341.700195,6087.810059,6140.419922,6140.419922,50292320000
2017-07-01,6173.290039,6460.839844,6081.959961,6348.120117,6348.120117,36228200000
2017-08-01,6372.160156,6435.270020,6177.189941,6428.660156,6428.660156,41368170000
2017-09-01,6442.169922,6497.979980,6334.589844,6495.959961,6495.959961,38354650000
2017-10-01,6506.080078,6737.750000,6484.140137,6727.669922,6727.669922,41620780000
2017-11-01,6758.640137,6914.189941,6667.310059,6873.970215,6873.970215,42080670000
2017-12-01,6844.040039,7003.890137,6734.129883,6903.390137,6903.390137,38755950000
2018-01-01,6937.649902,7505.770020,6924.080078,7411.479980,7411.479980,44694030000
2018-02-01,7377.169922,7441.089844,6630.669922,7273.009766,7273.009766,44063140000
2018-03-01,7274.750000,7637.270020,6901.069824,7063.450195,7063.450195,48760550000
2018-04-01,7016.169922,7319.580078,6805.959961,7066.270020,7066.270020,43233040000
2018-05-01,7053.649902,7492.419922,6991.140137,7442.120117,7442.120117,45761130000
2018-06-01,7487.660156,7806.600098,7419.560059,7510.299805,7510.299805,48573740000
2018-07-01,7451.899902,7933.310059,7443.100098,7671.790039,7671.790039,38964090000
2018-08-01,7701.819824,8133.299805,7659.520020,8109.540039,8109.540039,46197780000
2018-09-01,8087.950195,8104.069824,7873.930176,8046.350098,8046.350098,44907360000
2018-10-01,8091.500000,8107.379883,6922.830078,7305.899902,7305.899902,61889960000
2018-11-01,7327.819824,7572.930176,6830.759766,7330.540039,7330.540039,48901700000
2018-12-01,7486.129883,7486.509766,6190.169922,6635.279785,6635.279785,49224830000
2019-01-01,6506.910156,7303.120117,6457.129883,7281.740234,7281.740234,49542480000
2019-02-01,7256.370117,7602.689941,7225.140137,7532.529785,7532.529785,42628810000
2019-03-01,7587.450195,7850.109863,7332.919922,7729.319824,7729.319824,49622660000
2019-04-01,7800.240234,8176.080078,7777.089844,8095.390137,8095.390137,43553400000
2019-05-01,8132.930176,8164.709961,7448.229980,7453.149902,7453.149902,47822630000
2019-06-01,7441.209961,8088.879883,7292.220215,8006.240234,8006.240234,44821400000
2019-07-01,8145.850098,8339.639648,8059.290039,8175.419922,8175.419922,42846360000
2019-08-01,8190.560059,8311.040039,7662.899902,7962.879883,7962.879883,46323300000
2019-09-01,7906.439941,8243.799805,7847.319824,7999.339844,7999.339844,41720490000
2019-10-01,8026.830078,8335.559570,7700.000000,8292.360352,8292.360352,44203530000
2019-11-01,8335.049805,8705.910156,8326.559570,8665.469727,8665.469727,41773310000
2019-12-01,8672.839844,9052.000000,8435.400391,8972.599609,8972.599609,46214040000
2020-01-01,9039.459961,9451.429688,8943.500000,9150.940430,9150.940430,52694760000
2020-02-01,9190.719727,9838.370117,8264.160156,8567.370117,8567.370117,53886320000
2020-03-01,8667.139648,9070.320313,6631.419922,7700.100098,7700.100098,97320230000
2020-04-01,7459.500000,8957.269531,7288.109863,8889.549805,8889.549805,79171670000
2020-05-01,8681.290039,9523.639648,8537.830078,9489.870117,9489.870117,81175640000
2020-06-01,9471.419922,10221.849609,9403.000000,10058.769531,10058.769531,112284350000
2020-07-01,10063.669922,10839.929688,10048.040039,10745.269531,10745.269531,95054280000
2020-08-01,10848.639648,11829.839844,10762.709961,11775.459961,11775.459961,78996130000
2020-09-01,11850.959961,12074.059570,10519.490234,11167.509766,11167.509766,82496920000
2020-10-01,11291.990234,11965.540039,10822.570313,10911.589844,10911.589844,78287400000
2020-11-01,11010.450195,12244.650391,10830.950195,12198.740234,12198.740234,91282630000
2020-12-01,12313.360352,12973.330078,12214.740234,12888.280273,12888.280273,112635010000
